Rwanda,1010.2689290184
Saint Kitts and Nevis,22573.6724791004
Saint Lucia,13554.6651875402
Saint Vincent and the Grenadines,10520.4441534791
Samoa,4330.17840531329
San Marino,53000
Sao Tome and Principe,2940.93352926715
Saudi Arabia,32093.9622984711
Senegal,1706.44218024762
Serbia,12281
Seychelles,17879.2396545075
Sierra Leone,757.85833603088
Singapore,84734.2559206054
Sint Maarten (Dutch part),38077.5444869761
Slovakia,24491.3771867262
Slovenia,32610.110922729
Small states,15086.0915547842
Solomon Islands,2041.6364912646
Somalia,597.458854603159
South Africa,6022.5425418935
South Asia,2303.30291008899
South Asia (IDA & IBRD),2303.30291008899
South Sudan,478
Spain,33509.0127982139
Sri Lanka,3827.96495637489
St. Martin (French part),
State of Palestine,"3,372.35"
Sub-Saharan Africa,1622.80705094435
Sub-Saharan Africa (excluding high income),1621.26148130945
Sub-Saharan Africa (IDA & IBRD countries),1622.80705094435
Sudan,2183.44140625
Suriname,5494.07409425517
Sweden,55516.836477474
Switzerland,99564.710026145
Syrian Arab Republic,745
Tajikistan,1160.81187026311
Thailand,7182.02525812415
Timor-Leste,1502.51963828284
Togo,985.697512629974
Tokelau,"7,445"
Tonga,5218
Trinidad and Tobago,20016.1503008736
Tunisia,3977.69516639644
Türkiye,13105.6585678319
Turkmenistan,8232.65225980002
Turks and Caicos Islands,30348.8114409139
Tuvalu,6344.7750188689
Uganda,1002.30913917142
Ukraine,5069.703125
United Arab Emirates,49040.6947525825
United Kingdom,49463.8554617343
United Republic of Tanzania,1224.48962402344
United States,82769.4122114216
Upper middle income,10451.3445525827
Uruguay,22797.8111731861
Uzbekistan,2849.51461071911
Vanuatu,3515.23633611798
Venezuela (Bolivarian Republic of),3738
Viet Nam,4282.08851724506
Virgin Islands (U.S.),
West Bank and Gaza,3372.34974423005
World,13169.5982250473
Yemen,477.409028678688
Zambia,1330.72780576709
Zimbabwe,2156.0340040333
