Country,"Government revenue as % of GDP
2015–2023 (R)",Over All Expenditure_GDP,Health Expenditure_GDP,Education Expenditure_GDP,social protection expenditure_GDP,Health_budget,education_budget,social protection_budget,ODA inflow,ODA inflow_GNI,ODA outflow,Ouflow as a % of donor GNI,GDP per Capita
Sierra Leone,,8.8,1.9,8.8,1.0,6.9,29.4,11.1,546,11.0,,,20765.3503593109
Singapore,16.2,10.2,3.5,2.4,,20.8,13.1,0.0,,,,,"7,445"
Slovakia,25.6,20.1,6.2,4.3,1.5,13.6,9.4,7.3,,,172,,21787.1017315914
Slovenia,26.0,19.5,6.9,5.7,,14.0,11.5,0.0,,,169,,193.007145564804
Solomon Islands,23.1,29.2,3.3,,,10.5,,0.0,264,16.0,,,3805
Somalia,0.0,7.0,,0.3,0.2,,4.2,2.9,"1,969",18.7,,,56033.573792065
South Africa,28.8,19.7,5.0,6.6,4.6,15.3,18.5,23.4,"1,030",0.3,,,31591.1770732969
South Sudan,,,0.9,1.5,,2.1,8.1,,"2,061",15.9,,,22502.8429938094
Spain,17.7,19.9,7.7,4.6,,15.2,9.2,0.0,,,"4,043",,55516.836477474
Sri Lanka,8.2,6.9,1.9,1.2,0.4,9.5,8.7,6.0,19,0.0,,,1330.72780576709
State of Palestine,23.4,20.2,,5.4,,,,0.0,"2,336",9.4,,,1952.30457929636
Sudan,8.8,16.2,0.8,,0.9,7.9,,5.7,"1,575",3.1,,,"35,374"
Suriname,,,3.3,3.8,,10.0,13.9,,59,1.7,,,23400.7278817691
Sweden,29.4,25.7,9.7,6.7,,19.6,13.5,0.0,,,"5,458",,597.458854603159
Switzerland,10.5,11.4,4.3,5.6,,11.7,14.6,0.0,,,"4,496",,13554.6651875402
Syrian Arab Republic,,10.9,,,,,,0.0,"8,199",113.1,,,52642.4267486308
Tajikistan,13.9,10.1,1.9,5.4,0.8,7.0,20.4,7.6,612,4.1,,,21549.8368728192
Thailand,17.2,16.6,3.6,2.6,1.6,13.5,11.9,9.6,628,0.1,,,5565.12644647176
Timor-Leste,51.5,33.1,7.3,3.0,5.3,7.0,7.5,16.0,233,6.9,,,8638.66620201187
Togo,15.1,12.6,0.6,3.8,0.1,2.6,14.8,0.9,450,5.2,,,49463.8554617343
Tokelau,,,,,,,,,,,,,1970.15780961839
Tonga,25.1,30.7,3.6,5.6,,7.3,9.8,0.0,307,54.7,,,4282.08851724506
Trinidad and Tobago,,,3.3,2.9,3.7,11.1,7.9,,,,,,1160.81187026311
Tunisia,,20.6,4.1,6.2,0.5,12.4,22.7,2.3,"1,290",2.8,,,"18,806"
Türkiye,20.5,13.6,3.6,2.6,1.1,11.5,8.8,8.3,892,0.1,,,36551.41796875
Turkmenistan,,9.8,0.9,3.8,,8.7,28.6,0.0,15,0.0,,,7829.05313660622
Turks and Caicos Islands,,,,3.3,,,14.3,,,,,,64820.9117890026
Tuvalu,,,10.1,,,8.2,,,66,79.9,,,5391.06926181338
Uganda,13.8,9.5,1.1,2.6,0.4,4.9,8.6,4.3,"2,147",4.7,,,2106.76000405677
Ukraine,24.7,41.7,4.1,5.9,5.4,10.2,8.5,13.0,"29,293",16.9,,,2612.87066241288
United Arab Emirates,3.0,14.5,3.4,3.9,,12.9,14.8,0.0,,,,,1365.27743222493
United Kingdom,36.8,20.7,10.3,5.4,,22.4,11.2,0.0,,,"15,761",,84734.2559206054
United Republic of Tanzania,14.0,8.1,0.9,3.3,0.2,5.1,13.7,1.9,"2,729",3.6,,,5069.703125
United States,13.0,13.9,9.6,5.4,,21.4,12.7,0.0,,,"60,329",,82769.4122114216
Uruguay,20.4,13.8,6.9,4.4,1.1,22.4,15.4,8.3,1,0.1,,,9832.99643050057
Uzbekistan,18.0,16.1,3.0,5.3,0.8,9.9,21.4,4.7,"1,672",1.9,,,1224.48962402344
Vanuatu,30.5,20.6,1.2,2.2,,2.8,5.0,0.0,129,10.6,,,680.639877912029
Venezuela (Bolivarian Republic of),,,1.4,,,5.5,16.6,,272,,,,21865.4562838641
Viet Nam,,8.9,2.0,2.9,1.6,9.0,15.4,17.4,19,0.0,,,10717.6276712204
Yemen,,9.1,0.4,,,2.2,,0.0,"3,696",38.0,,,79636.9548578508
Zambia,22.0,14.3,2.8,3.6,0.2,9.3,13.9,1.4,"1,865",6.7,,,2849.51461071911
Zimbabwe,8.1,16.7,0.9,2.1,0.3,5.2,15.7,2.1,789,2.9,,,33766.5268253808
