Country,Govt Rev_GDP,Over All Expenditure_GDP,Health Expenditure_GDP,Education Expenditure_GDP,social protection expenditure_GDP,ODA inflow_GNI,GDP per Capita,GDP per Capita Class
TrinidadandTobago,26.0,19.799999999999997,3.3,2.9,3.7,0.0,20016.1503008736,High Income
Tunisia,19.9,20.6,4.1,6.2,0.5,2.8,3977.69516639644,Lower Middle Income
Türkiye,20.5,13.6,3.6,2.6,1.1,0.1,13105.6585678319,Upper Middle Income
Turkmenistan,23.1,9.8,0.9,3.8,1.6,0.0,8232.65225980002,Upper Middle Income
TurksandCaicosIslands,26.0,19.799999999999997,6.05,3.3,1.2,0.0,30348.8114409139,High Income
Tuvalu,23.1,16.1,10.1,4.05,1.6,79.9,6344.7750188689,Upper Middle Income
Uganda,13.8,9.5,1.1,2.6,0.4,4.7,1002.30913917142,Low Income
Ukraine,24.7,41.7,4.1,5.9,5.4,16.9,5069.703125,Upper Middle Income
UnitedArabEmirates,3.0,14.5,3.4,3.9,1.2,0.0,49040.6947525825,High Income
UnitedKingdom,36.8,20.7,10.3,5.4,1.2,0.0,49463.8554617343,High Income
UnitedRepublicofTanzania,14.0,8.1,0.9,3.3,0.2,3.6,1224.48962402344,Lower Middle Income
UnitedStates,13.0,13.9,9.6,5.4,1.2,0.0,82769.4122114216,High Income
Uruguay,20.4,13.8,6.9,4.4,1.1,0.1,22797.8111731861,High Income
Uzbekistan,18.0,16.1,3.0,5.3,0.8,1.9,2849.51461071911,Lower Middle Income
Vanuatu,30.5,20.6,1.2,2.2,0.6,10.6,3515.23633611798,Lower Middle Income
Venezuela(BolivarianRepublicof),19.9,13.55,1.4,3.6,0.6,0.0,3738.0,Lower Middle Income
VietNam,19.9,8.9,2.0,2.9,1.6,0.0,4282.08851724506,Lower Middle Income
Yemen,14.2,9.1,0.4,3.55,0.7,38.0,477.409028678688,Low Income
Zambia,22.0,14.3,2.8,3.6,0.2,6.7,1330.72780576709,Lower Middle Income
Zimbabwe,8.1,16.7,0.9,2.1,0.3,2.9,2156.0340040333,Lower Middle Income
