Country,"Government revenue as % of GDP
2015–2023 (R)",Over All Expenditure_GDP,Health Expenditure_GDP,Education Expenditure_GDP,social protection expenditure_GDP,Health_budget,education_budget,social protection_budget,ODA inflow,ODA inflow_GNI,ODA outflow,Ouflow as a % of donor GNI,GDP per Capita
Finland,23.0,25.2,8.4,5.7,,15.1,10.2,0.0,,,1615.0,,52925.6897638424
France,17.4,23.3,9.3,5.2,,15.8,8.9,0.0,,,17559.0,,44690.9345395117
Gabon,14.5,11.6,1.6,2.2,,9.6,13.6,0.0,146.0,0.7,,,7802.83659565049
Gambia,,8.8,1.6,2.7,,7.5,17.5,0.0,285.0,12.7,,,888.157407724123
Georgia,26.5,12.7,3.1,3.8,9.3,10.5,12.2,73.1,400.0,1.6,,,8283.66960242964
Germany,12.5,21.6,10.2,4.5,,19.9,9.2,0.0,,,36445.0,,54343.2265084958
Ghana,15.6,5.9,2.2,2.9,,8.2,12.0,0.0,1077.0,1.4,,,2260.28741289427
Greece,36.3,19.7,5.4,4.1,,9.4,7.1,0.0,,,360.0,,23400.7278817691
Grenada,,,2.2,3.9,2.0,7.0,14.4,,-97.0,-8.2,,,11246.3451228921
Guatemala,13.0,11.6,2.3,3.2,1.3,17.4,19.6,10.9,437.0,0.5,,,5762.82174615918
Guinea,,12.3,0.7,2.0,0.9,4.5,10.0,7.3,526.0,2.7,,,1541.04050914957
Guinea-Bissau,12.0,19.0,1.1,,0.0,4.6,,0.1,156.0,8.5,,,951.242748289294
Guyana,,,3.3,4.5,,12.9,16.1,,205.0,1.5,,,20765.3503593109
Haiti,,6.2,0.4,1.0,,3.9,11.2,0.0,895.0,4.4,,,1705.77905452248
HolySee,,,,,,,,,,,,,21198.0
Honduras,21.7,14.4,3.4,4.4,0.3,12.1,23.2,2.2,817.0,2.7,,,3231.65724461936
Hungary,28.3,20.0,5.3,5.0,1.8,11.0,10.4,9.1,,,371.0,,22141.8669799276
Iceland,31.1,25.7,8.1,7.1,,16.4,14.9,0.0,,,94.0,,79636.9548578508
India,13.2,10.5,1.1,4.6,1.4,3.7,14.6,13.6,3427.0,0.1,,,2480.79208721621
Indonesia,13.4,7.4,2.2,2.4,0.6,12.1,13.9,7.4,607.0,0.1,,,4876.31432703188
Iran(IslamicRepublicof),,13.2,3.2,2.7,,26.1,21.9,0.0,312.0,0.1,,,4465.63766994952
Iraq,38.6,17.7,2.6,,1.3,7.0,,7.3,1711.0,0.5,,,5565.12644647176
Ireland,19.4,12.3,5.2,2.9,,21.0,12.0,0.0,,,2410.0,,103887.800388081
Israel,28.1,22.4,5.4,6.5,,13.2,18.4,0.0,,,,,52642.4267486308
Italy,27.0,18.1,7.1,4.0,,12.4,7.4,0.0,,,6706.0,,39003.3160954123
Jamaica,29.3,13.6,5.1,5.7,1.5,16.2,16.9,11.1,95.0,0.6,,,6839.72503886968
Japan,15.3,21.6,9.2,3.5,,21.5,7.4,0.0,,,16747.0,,33766.5268253808
Jordan,23.5,15.8,2.6,3.2,1.0,7.9,9.6,6.3,2058.0,4.1,,,4455.50540514568
Kazakhstan,12.3,11.3,2.6,4.2,1.6,11.6,24.1,14.4,70.0,0.0,,,12918.8661346014
Kenya,18.0,12.3,2.2,4.6,0.4,9.3,17.9,3.0,2733.0,2.4,,,1952.30457929636
Kiribati,66.0,,11.1,16.6,1.3,10.0,15.4,,95.0,22.1,,,2106.76000405677
Kuwait,38.6,24.8,5.2,,,9.9,,0.0,,,,,33729.7985494456
Kyrgyzstan,24.6,16.8,2.9,8.0,2.6,8.6,21.0,15.4,756.0,6.3,,,1970.15780961839
LaoPeople'sDemocraticRepublic,13.9,14.0,0.7,1.4,0.1,4.4,9.1,0.6,576.0,3.8,,,2066.94979776957
Latvia,27.4,19.7,6.3,5.6,1.0,14.2,12.7,5.2,,,,,22502.8429938094
Lebanon,6.9,3.6,2.9,1.7,,16.7,9.9,0.0,1470.0,7.0,,,3654.0
Lesotho,37.0,34.2,4.2,6.7,5.6,8.0,11.3,16.3,153.0,5.7,,,916.282979328622
Liberia,,,1.1,2.4,,3.7,12.4,,495.0,12.9,,,771.887142089677
Libya,,31.8,,,2.7,,,8.5,274.0,0.5,,,6172.81246940233
Liechtenstein,,,,,,,,,,,,,186400.0
Lithuania,23.2,17.7,5.3,4.8,0.4,14.0,12.7,2.4,,,243.0,,27786.0057829276
Luxembourg,29.7,19.0,4.7,4.7,,11.0,10.7,0.0,,,530.0,,128678.0
Madagascar,10.2,18.7,0.7,3.1,0.2,5.3,14.1,0.8,1043.0,6.7,,,506.159368687808
Malawi,13.4,,1.4,3.3,,5.8,15.8,,1368.0,10.5,,,602.343619809252
Malaysia,16.4,12.0,2.5,3.5,0.6,10.1,20.1,4.7,-6.0,0.0,,,11379.0861000632
Maldives,24.8,,7.2,4.6,1.7,18.2,10.9,,126.0,2.1,,,12530.3602359683
Mali,15.0,17.1,1.3,4.0,0.6,5.0,19.1,3.6,1233.0,6.7,,,869.270234286992
Malta,33.3,17.7,7.1,5.4,,16.2,12.7,0.0,,,,,40395.7692064458
MarshallIslands,31.4,57.4,5.3,7.0,,7.9,11.3,0.0,139.0,47.3,,,6678.34239060448
Mauritania,,18.1,1.6,2.3,2.3,8.3,10.4,12.8,343.0,3.4,,,2120.82320358953
Mauritius,23.4,14.2,3.1,3.6,3.3,10.2,12.2,22.9,82.0,0.6,,,11613.0441587588
Mexico,16.9,11.0,3.0,4.6,1.6,11.0,16.2,14.7,515.0,0.0,,,13790.0243428344
Micronesia(FederatedStatesof),29.8,,1.9,10.5,,2.6,18.6,,147.0,31.5,,,4084.16940424398
Monaco,,,3.3,1.4,,13.6,4.8,,,,,,256580.515122745
Mongolia,23.1,13.3,4.5,4.3,2.2,12.6,10.0,16.4,297.0,1.9,,,5838.63108083902
Montenegro,,18.1,6.5,,1.8,14.4,,9.7,106.0,1.6,,,12221.4775546967
Montserrat,,,,,,,,,,,,,10749.0
